Date,Max,Min,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1/1/2019,58,39,48.5,15.1,16,0,0.06,0,0
1/2/2019,40,35,37.5,4.2,27,0,0,0,0
1/3/2019,44,37,40.5,7.4,24,0,0,0,0
1/4/2019,47,35,41,8,24,0,0,0,0
1/5/2019,47,41,44,11.1,21,0,0.5,0,0
1/6/2019,49,31,40,7.2,25,0,T,0,0
1/7/2019,34,25,29.5,-3.2,35,0,0,0,0
1/8/2019,45,34,39.5,6.9,25,0,0.17,T,0
1/9/2019,45,34,39.5,7,25,0,0.06,0,0
1/10/2019,34,28,31,-1.4,34,0,0,0,0
1/11/2019,30,21,25.5,-6.9,39,0,0,0,0
1/12/2019,34,20,27,-5.3,38,0,0,0,0
1/13/2019,33,25,29,-3.3,36,0,T,T,0
1/14/2019,32,22,27,-5.3,38,0,0,0,0
1/15/2019,36,25,30.5,-1.8,34,0,0,0,0
1/16/2019,39,30,34.5,2.3,30,0,0,0,0
1/17/2019,33,24,28.5,-3.7,36,0,0,0,0
1/18/2019,39,29,34,1.7,31,0,0.05,0.5,1
1/19/2019,37,32,34.5,2.2,30,0,0.29,0.2,0
1/20/2019,42,14,28,-4.3,37,0,0.88,0,0
1/21/2019,14,4,9,-23.3,56,0,0,0,0
1/22/2019,31,13,22,-10.4,43,0,0,0,0
1/23/2019,52,31,41.5,9.1,23,0,T,0,0
1/24/2019,59,35,47,14.5,18,0,1.33,0,0
1/25/2019,40,28,34,1.5,31,0,0,0,0
1/26/2019,35,24,29.5,-3.1,35,0,0,0,0
1/27/2019,49,32,40.5,7.8,24,0,0,0,0
1/28/2019,38,25,31.5,-1.3,33,0,0,0,0
1/29/2019,43,25,34,1.1,31,0,0.23,T,0
1/30/2019,35,6,20.5,-12.5,44,0,0.01,0.4,0
1/31/2019,16,2,9,-24.1,56,0,0,0,0
2/1/2019,21,11,16,-17.2,49,0,0,0,0
2/2/2019,34,16,25,-8.3,40,0,0,0,0
2/3/2019,53,33,43,9.6,22,0,0,0,0
2/4/2019,61,41,51,17.5,14,0,0,0,0
2/5/2019,65,44,54.5,20.8,10,0,0,0,0
2/6/2019,46,35,40.5,6.7,24,0,0.45,0,0
2/7/2019,44,39,41.5,7.6,23,0,0.07,0,0
2/8/2019,55,32,43.5,9.4,21,0,0.37,0,0
2/9/2019,32,23,27.5,-6.7,37,0,0,0,0
2/10/2019,35,23,29,-5.4,36,0,0,0,0
2/11/2019,38,30,34,-0.5,31,0,T,T,0
2/12/2019,36,26,31,-3.7,34,0,0.75,1.2,0
2/13/2019,41,33,37,2.1,28,0,0.08,T,1
2/14/2019,46,33,39.5,4.5,25,0,T,T,0
2/15/2019,59,42,50.5,15.3,14,0,0,0,0
2/16/2019,47,32,39.5,4.1,25,0,0,0,0
2/17/2019,38,26,32,-3.6,33,0,0.04,0,0
2/18/2019,42,26,34,-1.7,31,0,0.09,0,0
2/19/2019,36,23,29.5,-6.4,35,0,0,0,0
2/20/2019,33,26,29.5,-6.6,35,0,0.57,1.3,0
2/21/2019,52,33,42.5,6.2,22,0,0.1,0,1
2/22/2019,44,36,40,3.5,25,0,0,0,0
2/23/2019,42,32,37,0.3,28,0,0.01,0,0
2/24/2019,47,36,41.5,4.5,23,0,0.58,0,0
2/25/2019,43,28,35.5,-1.7,29,0,T,0,0
2/26/2019,36,25,30.5,-6.9,34,0,0,0,0
2/27/2019,31,23,27,-10.6,38,0,T,T,0
2/28/2019,37,27,32,-5.9,33,0,0.03,0.1,T
3/1/2019,35,26,30.5,-7.6,34,0,0.11,1.4,1
3/2/2019,41,31,36,-2.3,29,0,0.53,4,4
3/3/2019,42,33,37.5,-1.1,27,0,0.52,3,1
3/4/2019,38,28,33,-5.8,32,0,0.29,2,4
3/5/2019,32,20,26,-13.1,39,0,0,0,2
3/6/2019,26,19,22.5,-16.9,42,0,T,T,1
3/7/2019,32,18,25,-14.6,40,0,0,0,1
3/8/2019,39,24,31.5,-8.4,33,0,0,0,0
3/9/2019,49,34,41.5,1.3,23,0,0,0,0
3/10/2019,43,35,39,-1.5,26,0,0.54,0,0
3/11/2019,53,39,46,5.3,19,0,0,0,0
3/12/2019,44,34,39,-2,26,0,0,0,0
3/13/2019,49,32,40.5,-0.8,24,0,0,0,0
3/14/2019,57,42,49.5,7.9,15,0,0,0,0
3/15/2019,75,49,62,20,3,0,0.39,0,0
3/16/2019,58,37,47.5,5.2,17,0,0,0,0
3/17/2019,45,34,39.5,-3.1,25,0,0,0,0
3/18/2019,46,32,39,-3.9,26,0,0,0,0
3/19/2019,51,35,43,-0.2,22,0,0,0,0
3/20/2019,53,37,45,1.4,20,0,0,0,0
3/21/2019,46,41,43.5,-0.4,21,0,0.75,0,0
3/22/2019,49,38,43.5,-0.7,21,0,0.68,0,0
3/23/2019,48,35,41.5,-3.1,23,0,0,0,0
3/24/2019,60,38,49,4.1,16,0,0,0,0
3/25/2019,56,42,49,3.7,16,0,T,0,0
3/26/2019,49,33,41,-4.6,24,0,0,0,0
3/27/2019,47,34,40.5,-5.5,24,0,0,0,0
3/28/2019,53,37,45,-1.4,20,0,T,0,0
3/29/2019,59,49,54,7.3,11,0,T,0,0
3/30/2019,70,52,61,13.9,4,0,0,0,0
3/31/2019,65,39,52,4.5,13,0,0.06,0,0
4/1/2019,46,33,39.5,-8.3,25,0,0,0,0
4/2/2019,52,39,45.5,-2.7,19,0,T,0,0
4/3/2019,67,41,54,5.4,11,0,0,0,0
4/4/2019,60,44,52,3.1,13,0,0,0,0
4/5/2019,45,38,41.5,-7.8,23,0,0.2,0,0
4/6/2019,68,39,53.5,3.8,11,0,0,0,0
4/7/2019,66,51,58.5,8.5,6,0,0,0,0
4/8/2019,79,49,64,13.6,1,0,0.26,0,0
4/9/2019,51,46,48.5,-2.3,16,0,0.03,0,0
4/10/2019,60,45,52.5,1.4,12,0,0,0,0
4/11/2019,55,40,47.5,-4,17,0,0,0,0
4/12/2019,68,46,57,5.1,8,0,0.63,0,0
4/13/2019,77,59,68,15.8,0,3,0.24,0,0
4/14/2019,73,60,66.5,13.9,0,2,0.01,0,0
4/15/2019,65,46,55.5,2.6,9,0,0.96,0,0
4/16/2019,66,44,55,1.7,10,0,T,0,0
4/17/2019,63,48,55.5,1.9,9,0,0.01,0,0
4/18/2019,62,51,56.5,2.5,8,0,T,0,0
4/19/2019,80,58,69,14.7,0,4,0.01,0,0
4/20/2019,64,55,59.5,4.8,5,0,0.7,0,0
4/21/2019,66,53,59.5,4.5,5,0,0,0,0
4/22/2019,64,52,58,2.7,7,0,0.24,0,0
4/23/2019,77,56,66.5,10.9,0,2,0.08,0,0
4/24/2019,69,55,62,6,3,0,T,0,0
4/25/2019,66,48,57,0.7,8,0,0.02,0,0
4/26/2019,59,51,55,-1.6,10,0,1.03,0,0
4/27/2019,58,47,52.5,-4.4,12,0,0.07,0,0
4/28/2019,53,45,49,-8.2,16,0,0.01,0,0
4/29/2019,60,41,50.5,-7,14,0,0.01,0,0
4/30/2019,60,48,54,-3.8,11,0,0.04,0,0
5/1/2019,56,50,53,-5.1,12,0,0,0,0
5/2/2019,78,50,64,5.6,1,0,0.01,0,0
5/3/2019,56,50,53,-5.7,12,0,0.06,0,0
5/4/2019,71,53,62,3,3,0,0.11,0,0
5/5/2019,58,51,54.5,-4.8,10,0,1.31,0,0
5/6/2019,74,51,62.5,2.9,2,0,0,0,0
5/7/2019,70,52,61,1.2,4,0,0.11,0,0
5/8/2019,71,55,63,2.9,2,0,0,0,0
5/9/2019,61,53,57,-3.4,8,0,0,0,0
5/10/2019,73,56,64.5,3.8,0,0,0.04,0,0
5/11/2019,69,56,62.5,1.5,2,0,0.04,0,0
5/12/2019,59,43,51,-10.2,14,0,1.32,0,0
5/13/2019,48,42,45,-16.5,20,0,0.7,0,0
5/14/2019,52,44,48,-13.8,17,0,0.3,0,0
5/15/2019,69,44,56.5,-5.6,8,0,0.01,0,0
5/16/2019,73,52,62.5,0.1,2,0,0.12,0,0
